Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.004,0.76,8,0,1,0,0,0,0.23999362477601024
0.004,0.77,8,0,1,0,0,0,0.22999502942933764
0.004,0.78,8,0,1,0,0,0,0.21999551752565843
0.004,0.79,8,0,1,0,0,0,0.20999591286398175
0.005,0.0,1,0,0,0,0,1,0.20000547977860852
0.005,0.01,1,0,0,0,0,1,0.20000506673635055
0.005,0.02,1,0,0,0,0,1,0.2000053273809506
0.005,0.03,1,0,0,0,0,1,0.2000046201137187
0.005,0.04,1,0,0,0,0,1,0.20000472946605274
0.005,0.05,1,0,0,0,0,1,0.20000502722496843
0.005,0.06,1,0,0,0,0,1,0.20000487047715318
0.005,0.07,1,0,0,0,0,1,0.2000052659943502
0.005,0.08,1,0,0,0,0,1,0.20000605783466494
0.005,0.09,1,0,0,0,0,1,0.20000300610755056
0.005,0.1,1,0,0,0,0,1,0.20000394418997536
0.005,0.11,1,0,0,0,0,1,0.20000443302171766
0.005,0.12,1,0,0,0,0,1,0.20000396928243094
0.005,0.13,1,0,0,0,0,1,0.20000625062614652
0.005,0.14,1,0,0,0,0,1,0.20000666135141837
0.005,0.15,1,0,0,0,0,1,0.20000534737638914
0.005,0.16,1,0,0,0,0,1,0.20000399806258864
0.005,0.17,1,0,0,0,0,1,0.2000047387079628
0.005,0.18,1,0,0,0,0,1,0.20000574181434982
0.005,0.19,1,0,0,0,0,1,0.20000533871901052
0.005,0.2,1,0,0,0,0,1,0.20000531078081327
0.005,0.21,1,0,0,0,0,1,0.2000046487426706
0.005,0.22,1,0,0,0,0,1,0.200004730326421
0.005,0.23,1,0,0,0,0,1,0.20000502028960937
0.005,0.24,1,0,0,0,0,1,0.20000507680776697
0.005,0.25,1,0,0,0,0,1,0.20000569349359773
0.005,0.26,1,0,0,0,0,1,0.20000540105966508
0.005,0.27,1,0,0,0,0,1,0.20000405832075688
0.005,0.28,1,0,0,0,0,1,0.20000426337169383
0.005,0.29,1,0,0,0,0,1,0.20000570589812075
0.005,0.3,1,0,0,0,0,1,0.20000464904058812
0.005,0.31,1,0,0,0,0,1,0.20000617848279853
0.005,0.32,1,0,0,0,0,1,0.19999486425404275
0.005,0.33,1,0,0,0,0,1,0.1999953528557193
0.005,0.34,1,0,0,0,0,1,0.19999645135688982
0.005,0.35000000000000003,1,0,0,0,0,1,0.19999325017140737
0.005,0.36,1,0,0,0,0,1,0.1999950908956147
0.005,0.37,1,0,0,0,0,1,0.19999674060981937
0.005,0.38,1,0,0,0,0,1,0.19999574524239225
0.005,0.39,1,0,0,0,0,1,0.1999948693331462
0.005,0.4,1,0,0,0,0,1,0.19999481695251398
0.005,0.41000000000000003,1,0,0,0,0,1,0.19999522229683142
0.005,0.42,1,0,0,0,0,1,0.19999496133168163
